date,num1,num2,num3,num4,num5,num6,sup1,sup2
2021-01-25,4,6,20,35,36,40,12,41
2021-01-23,1,6,8,10,29,40,31,42
2021-01-20,12,20,22,32,38,42,4,41
2021-01-18,4,13,29,31,38,44,10,23
2021-01-16,4,12,14,17,22,33,25,28
2021-01-13,5,13,14,25,38,43,7,31
2021-01-11,13,14,15,22,30,40,5,41
2021-01-09,7,9,20,22,34,45,10,12
2021-01-06,19,26,29,30,31,35,6,20
2021-01-04,13,14,20,30,38,41,2,27
2021-01-02,5,7,14,16,17,44,26,31
2020-12-30,2,4,11,20,28,30,7,21
2020-12-28,10,16,19,28,39,42,9,18
2020-12-26,2,5,11,21,30,32,25,42
2020-12-23,11,15,16,19,21,30,2,9
2020-12-21,16,25,30,34,42,43,20,44
2020-12-19,9,16,26,35,39,41,13,33
2020-12-16,2,8,16,24,37,44,9,38
2020-12-14,5,20,22,23,40,44,13,39
2020-12-12,14,16,35,38,40,43,1,33
2020-12-09,2,7,17,19,21,33,10,34
2020-12-07,10,19,26,35,38,45,17,32
2020-12-05,1,9,11,24,32,41,15,38
2020-12-02,24,25,28,34,39,45,2,42
2020-11-30,5,9,13,31,38,42,1,30
2020-11-28,10,18,20,34,35,37,7,41
2020-11-25,4,6,21,35,37,40,20,26
2020-11-23,12,13,20,24,35,38,3,43
2020-11-21,2,21,27,37,39,42,7,11
2020-11-18,9,11,18,27,37,41,6,19
2020-11-16,3,12,16,26,27,40,8,11
2020-11-14,6,15,23,26,27,45,2,29
2020-11-11,4,14,20,25,30,45,5,42
2020-11-09,4,7,11,20,37,45,28,41
2020-11-07,1,3,7,8,15,35,5,10
2020-11-04,1,14,18,20,27,36,4,15
2020-11-02,21,32,40,42,44,45,24,36
2020-10-31,4,13,19,26,27,34,6,15
2020-10-28,12,14,21,23,38,39,33,36
2020-10-26,2,6,14,24,29,43,10,17
2020-10-24,3,23,30,31,38,45,19,40
2020-10-21,6,17,36,38,40,45,26,30
2020-10-19,1,13,16,25,39,45,10,30
2020-10-17,5,8,12,14,16,38,3,17
2020-10-14,10,17,18,34,40,41,5,36
2020-10-12,2,5,9,10,28,33,30,40
2020-10-10,5,12,24,26,34,37,2,3
2020-10-07,6,7,9,10,13,17,19,35
2020-10-05,5,7,22,28,37,39,14,24
2020-10-03,3,11,21,24,29,38,36,40
2020-09-30,10,11,13,26,40,43,29,44
2020-09-28,3,11,16,17,24,38,26,31
2020-09-26,1,7,22,28,36,42,11,14
2020-09-23,1,4,5,6,31,32,3,11
2020-09-21,1,4,8,18,22,35,14,38
