date,num1,num2,num3,num4,num5,num6,sup1,sup2
25/01/2021,4,6,20,35,36,40,12,41
18/01/2021,4,13,29,31,38,44,10,23
11/01/2021,13,14,15,22,30,40,5,41
04/01/2021,13,14,20,30,38,41,2,27
28/12/2020,10,16,19,28,39,42,9,18
21/12/2020,16,25,30,34,42,43,20,44
14/12/2020,5,20,22,23,40,44,13,39
07/12/2020,10,19,26,35,38,45,17,32
30/11/2020,5,9,13,31,38,42,1,30
23/11/2020,12,13,20,24,35,38,3,43
16/11/2020,3,12,16,26,27,40,8,11
09/11/2020,4,7,11,20,37,45,28,41
02/11/2020,21,32,40,42,44,45,24,36
26/10/2020,2,6,14,24,29,43,10,17
19/10/2020,1,13,16,25,39,45,10,30
12/10/2020,2,5,9,10,28,33,30,40
05/10/2020,5,7,22,28,37,39,14,24
28/09/2020,3,11,16,17,24,38,26,31
21/09/2020,1,4,8,18,22,35,14,38
14/09/2020,1,16,23,24,31,43,18,36
07/09/2020,1,9,16,23,36,44,25,39
31/08/2020,1,2,5,7,30,38,17,37
24/08/2020,5,12,14,32,38,42,11,20
17/08/2020,10,12,20,22,31,37,29,33
10/08/2020,2,23,25,30,37,38,3,36
03/08/2020,1,4,12,17,24,40,8,15
27/07/2020,5,12,34,37,44,45,35,38
20/07/2020,2,3,7,14,18,35,5,16
13/07/2020,3,4,9,11,20,22,17,44
06/07/2020,1,8,15,41,42,45,22,30
29/06/2020,10,11,16,17,20,24,15,34
22/06/2020,3,4,13,23,32,39,34,40
15/06/2020,15,18,20,21,27,36,9,41
08/06/2020,4,8,18,20,39,44,23,33
01/06/2020,9,10,19,30,41,45,22,28
25/05/2020,8,16,17,24,36,40,4,41
18/05/2020,13,16,20,21,39,40,18,44
11/05/2020,6,23,28,35,39,41,17,27
04/05/2020,30,32,39,40,41,43,15,23
27/04/2020,3,13,39,42,44,45,16,17
20/04/2020,2,6,11,16,25,45,19,24
13/04/2020,1,2,33,39,41,45,7,38
06/04/2020,10,11,14,20,30,32,4,40
30/03/2020,1,3,10,13,14,19,5,32
23/03/2020,10,16,18,20,24,42,2,41
16/03/2020,18,26,33,36,40,44,39,41
09/03/2020,7,10,13,19,20,22,28,45
02/03/2020,8,9,14,28,29,34,41,43
24/02/2020,10,17,24,26,28,44,13,25
17/02/2020,19,26,32,35,40,45,18,24
10/02/2020,10,16,31,33,35,45,14,44
03/02/2020,7,20,26,28,34,40,17,39
27/01/2020,2,4,13,22,23,31,32,44
20/01/2020,2,28,30,33,36,45,12,16
13/01/2020,8,17,22,34,40,42,32,38
06/01/2020,5,11,16,26,35,43,6,24
30/12/2019,5,7,18,32,34,36,2,13
23/12/2019,1,15,16,20,32,39,30,33
16/12/2019,17,20,30,37,42,45,8,39
09/12/2019,8,10,11,13,20,23,21,40
02/12/2019,7,14,16,28,32,42,1,43
25/11/2019,11,21,25,29,41,43,1,31
18/11/2019,8,19,28,39,42,45,35,40
11/11/2019,5,17,18,21,41,43,8,27
04/11/2019,5,6,10,14,33,37,20,22
28/10/2019,18,25,30,38,43,45,12,37
21/10/2019,2,9,17,19,22,36,8,26
14/10/2019,19,35,38,42,43,45,20,25
07/10/2019,2,7,8,31,35,44,34,36
30/09/2019,6,12,19,20,28,39,21,25
23/09/2019,2,11,13,17,30,31,10,44
16/09/2019,2,8,9,15,22,26,33,41
09/09/2019,11,18,26,34,40,42,14,25
02/09/2019,6,22,23,32,43,45,12,30
26/08/2019,12,24,28,32,33,45,9,11
19/08/2019,3,6,10,13,24,32,34,37
12/08/2019,3,8,24,34,40,44,36,43
05/08/2019,1,6,7,14,18,21,9,19
29/07/2019,3,4,6,11,26,29,40,41
22/07/2019,3,4,17,25,27,38,18,29
15/07/2019,6,11,21,24,35,40,14,44
08/07/2019,1,16,27,33,39,44,10,36
01/07/2019,13,14,15,19,27,44,36,37
24/06/2019,9,22,23,32,36,40,33,37
17/06/2019,2,18,21,22,34,35,11,19
10/06/2019,2,3,5,7,15,19,20,23
03/06/2019,10,12,14,16,33,41,15,40
27/05/2019,11,18,25,29,35,40,27,38
20/05/2019,1,2,5,12,26,36,34,39
13/05/2019,3,6,13,36,37,43,9,24
06/05/2019,1,20,21,30,36,41,8,32
29/04/2019,2,6,10,14,33,42,11,30
22/04/2019,2,6,12,18,32,44,20,30
15/04/2019,1,13,24,38,41,42,18,30
08/04/2019,3,4,17,22,25,30,16,45
01/04/2019,1,7,9,10,30,32,28,41
25/03/2019,4,13,23,28,37,42,12,19
18/03/2019,10,25,28,30,36,42,5,6
11/03/2019,1,5,8,20,40,44,4,39
04/03/2019,14,19,33,37,39,43,32,35
25/02/2019,5,14,18,23,25,40,3,19
18/02/2019,9,11,17,18,23,30,16,35
11/02/2019,1,14,21,33,41,44,26,37
04/02/2019,6,22,26,31,38,42,8,23
28/01/2019,1,6,12,14,41,42,13,23
21/01/2019,2,17,19,24,32,43,37,40
